Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
17,2,32,1,1.88,6,1,v Australia,Colombo (RPS),28-Aug-92
34,7,109,2,3.2,5,3,v Australia,Colombo (RPS),28-Aug-92
15.1,2,58,1,3.82,5,1,v Australia,Moratuwa,8-Sep-92
7,1,26,0,3.71,5,3,v Australia,Moratuwa,8-Sep-92
12.1,3,22,3,1.8,6,2,v New Zealand,Colombo (SSC),6-Dec-92
40,6,134,4,3.35,4,3,v New Zealand,Colombo (SSC),6-Dec-92
45,12,118,4,2.62,5,1,v England,Colombo (SSC),13-Mar-93
16,3,55,1,3.43,4,3,v England,Colombo (SSC),13-Mar-93
TDNB,-,-,-,-,-,-,v India,Kandy,17-Jul-93
47.1,12,136,4,2.88,6,2,v India,Colombo (PSS),4-Aug-93
39,8,104,5,2.66,5,2,v South Africa,Moratuwa,25-Aug-93
31,11,48,1,1.54,3,4,v South Africa,Moratuwa,25-Aug-93
54,17,101,5,1.87,5,2,v South Africa,Colombo (SSC),6-Sep-93
35.1,8,64,4,1.81,5,1,v South Africa,Colombo (PSS),14-Sep-93
15,3,39,1,2.6,4,3,v South Africa,Colombo (PSS),14-Sep-93
15.5,4,47,4,2.96,5,2,v West Indies,Moratuwa,8-Dec-93
41.5,3,162,5,3.87,6,1,v India,Lucknow,18-Jan-94
65,11,179,4,2.75,3,1,v India,Bangalore,26-Jan-94
36.3,7,79,3,2.16,4,2,v India,Ahmedabad,8-Feb-94
36,6,123,1,3.41,4,1,v Pakistan,Colombo (PSS),9-Aug-94
11,0,42,0,3.81,4,3,v Pakistan,Colombo (PSS),9-Aug-94
32,7,60,2,1.87,5,2,v Zimbabwe,Harare,11-Oct-94
55,21,108,1,1.96,4,1,v Zimbabwe,Bulawayo,20-Oct-94
DNB,-,-,-,-,-,2,v New Zealand,Napier,11-Mar-95
36,15,64,5,1.77,4,4,v New Zealand,Napier,11-Mar-95
50,20,77,2,1.54,3,2,v New Zealand,Dunedin,18-Mar-95
DNB,-,-,-,-,-,4,v New Zealand,Dunedin,18-Mar-95
50,9,134,4,2.68,4,1,v Pakistan,Peshawar,8-Sep-95
23.3,6,68,5,2.89,5,2,v Pakistan,Faisalabad,15-Sep-95
20,2,83,2,4.15,3,4,v Pakistan,Faisalabad,15-Sep-95
27.1,6,72,4,2.65,4,2,v Pakistan,Sialkot,22-Sep-95
17,3,53,0,3.11,5,4,v Pakistan,Sialkot,22-Sep-95
54,3,224,2,4.14,3,2,v Australia,Perth,8-Dec-95
38,7,124,1,3.26,5,1,v Australia,Melbourne,26-Dec-95
DNB,-,-,-,-,-,4,v Australia,Melbourne,26-Dec-95
24,9,28,2,1.16,4,2,v Zimbabwe,Colombo (RPS),11-Sep-96
20.3,4,33,5,1.6,6,3,v Zimbabwe,Colombo (RPS),11-Sep-96
20,5,40,4,2,3,1,v Zimbabwe,Colombo (SSC),18-Sep-96
41,9,94,3,2.29,3,3,v Zimbabwe,Colombo (SSC),18-Sep-96
33,6,136,0,4.12,4,1,v New Zealand,Dunedin,7-Mar-97
22,4,43,3,1.95,5,1,v New Zealand,Hamilton,14-Mar-97
26,7,62,3,2.38,5,3,v New Zealand,Hamilton,14-Mar-97
53,19,98,6,1.84,4,2,v Pakistan,Colombo (RPS),19-Apr-97
23.4,13,34,5,1.43,4,2,v West Indies,St John's,13-Jun-97
21.2,5,72,3,3.37,3,4,v West Indies,St John's,13-Jun-97
12,1,28,3,2.33,4,1,v West Indies,Kingstown,20-Jun-97
41,13,113,5,2.75,3,3,v West Indies,Kingstown,20-Jun-97
65,9,174,2,2.67,4,1,v India,Colombo (RPS),2-Aug-97
48,17,99,4,2.06,4,2,v India,Colombo (SSC),9-Aug-97
35,5,96,3,2.74,3,4,v India,Colombo (SSC),9-Aug-97
75,30,174,3,2.32,4,2,v India,Mohali,19-Nov-97
46,9,137,0,2.97,4,1,v India,Nagpur,26-Nov-97
29,18,23,5,0.79,3,2,v Zimbabwe,Kandy,7-Jan-98
42.5,13,94,7,2.19,3,3,v Zimbabwe,Kandy,7-Jan-98
32,10,72,2,2.25,4,1,v Zimbabwe,Colombo (SSC),14-Jan-98
37.5,9,73,3,1.92,3,3,v Zimbabwe,Colombo (SSC),14-Jan-98
45,8,135,4,3,4,1,v South Africa,Cape Town,19-Mar-98
41,10,108,4,2.63,4,3,v South Africa,Cape Town,19-Mar-98
30,8,63,5,2.1,4,2,v South Africa,Centurion,27-Mar-98
23.5,4,94,3,3.94,5,4,v South Africa,Centurion,27-Mar-98
38.2,9,90,5,2.34,4,1,v New Zealand,Colombo (RPS),27-May-98
36,5,137,4,3.8,4,3,v New Zealand,Colombo (RPS),27-May-98
23,9,33,0,1.43,4,1,v New Zealand,Galle,3-Jun-98
16,7,24,3,1.5,5,3,v New Zealand,Galle,3-Jun-98
23.1,3,60,2,2.58,5,2,v New Zealand,Colombo (SSC),10-Jun-98
18.3,8,30,5,1.62,5,4,v New Zealand,Colombo (SSC),10-Jun-98
59.3,14,155,7,2.6,4,1,v England,The Oval,27-Aug-98
54.2,27,65,9,1.19,3,3,v England,The Oval,27-Aug-98
25.1,4,63,4,2.5,3,1,v Australia,Kandy,9-Sep-99
26,5,65,3,2.5,4,3,v Australia,Kandy,9-Sep-99
38,10,71,5,1.86,4,2,v Australia,Galle,22-Sep-99
52,5,150,3,2.88,4,1,v Australia,Colombo (SSC),30-Sep-99
20,3,61,1,3.05,4,1,v Zimbabwe,Bulawayo,18-Nov-99
14,3,50,1,3.57,4,3,v Zimbabwe,Bulawayo,18-Nov-99
29.5,11,44,3,1.47,4,1,v Zimbabwe,Harare,26-Nov-99
43,15,71,2,1.65,4,3,v Zimbabwe,Harare,26-Nov-99
24,6,51,0,2.12,4,1,v Zimbabwe,Harare,4-Dec-99
35,12,52,2,1.48,5,3,v Zimbabwe,Harare,4-Dec-99
20.5,7,45,4,2.16,4,1,v Pakistan,Rawalpindi,26-Feb-00
54.1,14,127,4,2.34,4,3,v Pakistan,Rawalpindi,26-Feb-00
39,10,77,4,1.97,3,2,v Pakistan,Peshawar,5-Mar-00
27.1,4,71,6,2.61,4,4,v Pakistan,Peshawar,5-Mar-00
32,10,89,4,2.78,4,1,v Pakistan,Karachi,12-Mar-00
40,5,107,4,2.67,4,3,v Pakistan,Karachi,12-Mar-00
47,12,115,5,2.44,5,2,v Pakistan,Colombo (SSC),14-Jun-00
17,3,53,3,3.11,3,4,v Pakistan,Colombo (SSC),14-Jun-00
50,13,138,4,2.76,4,2,v Pakistan,Galle,21-Jun-00
TDNB,-,-,-,-,-,-,v Pakistan,Kandy,28-Jun-00
41,8,87,6,2.12,4,2,v South Africa,Galle,20-Jul-00
35,5,84,7,2.4,4,3,v South Africa,Galle,20-Jul-00
30.5,3,95,2,3.08,4,1,v South Africa,Kandy,30-Jul-00
36,8,76,3,2.11,4,3,v South Africa,Kandy,30-Jul-00
39,14,70,3,1.79,4,1,v South Africa,Colombo (SSC),6-Aug-00
45.5,14,68,5,1.48,5,3,v South Africa,Colombo (SSC),6-Aug-00
58.3,16,122,5,2.08,4,1,v South Africa,Durban,26-Dec-00
10,1,39,6,3.9,4,3,v South Africa,Durban,26-Dec-00
43,11,99,1,2.3,4,2,v South Africa,Cape Town,2-Jan-01
54.3,14,79,3,1.44,2,2,v England,Galle,22-Feb-01
42.3,14,66,4,1.55,5,3,v England,Galle,22-Feb-01
63,21,127,4,2.01,3,2,v England,Kandy,7-Mar-01
27,7,50,1,1.85,4,4,v England,Kandy,7-Mar-01
41,9,73,1,1.78,4,2,v England,Colombo (SSC),15-Mar-01
8,1,26,1,3.25,3,4,v England,Colombo (SSC),15-Mar-01
24.3,8,41,3,1.67,4,1,v India,Galle,14-Aug-01
26.5,10,49,5,1.82,4,3,v India,Galle,14-Aug-01
20.1,5,62,2,3.07,4,2,v India,Kandy,22-Aug-01
25,2,96,2,3.84,4,4,v India,Kandy,22-Aug-01
34.1,9,87,8,2.54,4,1,v India,Colombo (SSC),29-Aug-01
46.5,17,109,3,2.32,3,3,v India,Colombo (SSC),29-Aug-01
9.4,4,13,5,1.34,4,1,v Bangladesh,Colombo (SSC),6-Sep-01
35.3,6,98,5,2.76,3,3,v Bangladesh,Colombo (SSC),6-Sep-01
53.4,11,126,6,2.34,3,1,v West Indies,Galle,13-Nov-01
31.3,10,44,5,1.39,3,3,v West Indies,Galle,13-Nov-01
23.4,5,54,4,2.28,3,2,v West Indies,Kandy,21-Nov-01
35.5,16,81,6,2.26,3,4,v West Indies,Kandy,21-Nov-01
37,6,115,1,3.1,5,1,v West Indies,Colombo (SSC),29-Nov-01
36,5,116,2,3.22,3,3,v West Indies,Colombo (SSC),29-Nov-01
26,8,53,4,2.03,3,2,v Zimbabwe,Colombo (SSC),27-Dec-01
36,17,35,4,0.97,4,3,v Zimbabwe,Colombo (SSC),27-Dec-01
40,19,51,9,1.27,3,1,v Zimbabwe,Kandy,4-Jan-02
26.4,7,64,4,2.4,3,3,v Zimbabwe,Kandy,4-Jan-02
58.3,26,67,5,1.14,3,2,v Zimbabwe,Galle,12-Jan-02
16,7,24,4,1.5,4,4,v Zimbabwe,Galle,12-Jan-02
25,9,55,4,2.2,4,1,v Pakistan,Lahore,6-Mar-02
34,8,72,4,2.11,4,3,v Pakistan,Lahore,6-Mar-02
64,12,143,5,2.23,3,2,v England,Birmingham,30-May-02
60,20,137,3,2.28,4,1,v England,Manchester,13-Jun-02
2,0,17,0,8.5,3,4,v England,Manchester,13-Jun-02
19.4,6,39,5,1.98,4,1,v Bangladesh,Colombo (PSS),21-Jul-02
25,6,59,5,2.36,4,3,v Bangladesh,Colombo (PSS),21-Jul-02
31.2,8,83,3,2.64,4,2,v South Africa,Johannesburg,8-Nov-02
57,10,133,2,2.33,4,2,v South Africa,Centurion,15-Nov-02
13.3,1,35,2,2.59,3,4,v South Africa,Centurion,15-Nov-02
58.5,16,140,2,2.37,4,1,v New Zealand,Colombo (PSS),25-Apr-03
30,15,41,3,1.36,3,3,v New Zealand,Colombo (PSS),25-Apr-03
34,10,90,3,2.64,3,1,v New Zealand,Kandy,3-May-03
39,18,49,5,1.25,5,3,v New Zealand,Kandy,3-May-03
50,10,138,5,2.76,4,2,v West Indies,Gros Islet,20-Jun-03
11,3,23,3,2.09,4,2,v West Indies,Kingston,27-Jun-03
15.4,1,48,1,3.06,4,4,v West Indies,Kingston,27-Jun-03
31.4,15,46,7,1.45,4,2,v England,Galle,2-Dec-03
37,18,47,4,1.27,5,4,v England,Galle,2-Dec-03
40,18,60,4,1.5,4,2,v England,Kandy,10-Dec-03
56,28,64,4,1.14,4,4,v England,Kandy,10-Dec-03
40,21,40,3,1,5,1,v England,Colombo (SSC),18-Dec-03
27,9,63,4,2.33,4,3,v England,Colombo (SSC),18-Dec-03
21.3,5,59,6,2.74,3,1,v Australia,Galle,8-Mar-04
56,9,153,5,2.73,3,3,v Australia,Galle,8-Mar-04
15,4,48,4,3.2,3,1,v Australia,Kandy,16-Mar-04
50.3,8,173,5,3.42,2,3,v Australia,Kandy,16-Mar-04
37.1,6,123,5,3.3,4,1,v Australia,Colombo (SSC),24-Mar-04
29,5,93,3,3.2,3,3,v Australia,Colombo (SSC),24-Mar-04
24.2,10,45,6,1.84,4,1,v Zimbabwe,Harare,6-May-04
9.1,1,37,2,4.03,3,3,v Zimbabwe,Harare,6-May-04
22,3,58,2,2.63,4,1,v Zimbabwe,Bulawayo,14-May-04
28.1,6,79,4,2.8,3,3,v Zimbabwe,Bulawayo,14-May-04
46.4,9,130,4,2.78,3,2,v South Africa,Galle,4-Aug-04
20,5,37,1,1.85,5,4,v South Africa,Galle,4-Aug-04
29,8,56,1,1.93,4,1,v West Indies,Colombo (SSC),13-Jul-05
21,8,36,6,1.71,3,3,v West Indies,Colombo (SSC),13-Jul-05
9.1,0,37,2,4.03,4,2,v West Indies,Kandy,22-Jul-05
16.2,4,46,8,2.81,3,4,v West Indies,Kandy,22-Jul-05
14,1,42,3,3,4,1,v Bangladesh,Colombo (RPS),12-Sep-05
10.4,4,18,6,1.68,3,3,v Bangladesh,Colombo (RPS),12-Sep-05
14.4,2,47,3,3.2,4,2,v Bangladesh,Colombo (PSS),20-Sep-05
14,6,28,2,2,5,3,v Bangladesh,Colombo (PSS),20-Sep-05
30,3,102,2,3.4,4,1,v Australia,Sydney,14-Oct-05
24,5,55,3,2.29,4,3,v Australia,Sydney,14-Oct-05
25,6,60,2,2.4,3,1,v India,Chennai,2-Dec-05
38.4,8,100,7,2.58,3,1,v India,Delhi,10-Dec-05
38,5,118,1,3.1,2,3,v India,Delhi,10-Dec-05
36,4,128,3,3.55,3,1,v India,Ahmedabad,18-Dec-05
21,5,90,3,4.28,4,3,v India,Ahmedabad,18-Dec-05
32,8,87,3,2.71,4,1,v Bangladesh,Chittagong,28-Feb-06
19.5,6,54,6,2.72,4,3,v Bangladesh,Chittagong,28-Feb-06
30.5,8,79,5,2.56,4,1,v Bangladesh,Bogra,8-Mar-06
13,1,62,2,4.76,3,3,v Bangladesh,Bogra,8-Mar-06
17.4,4,41,3,2.32,5,2,v Pakistan,Colombo (SSC),26-Mar-06
42,13,94,3,2.23,3,4,v Pakistan,Colombo (SSC),26-Mar-06
16.4,4,39,5,2.34,4,2,v Pakistan,Kandy,3-Apr-06
13,3,46,0,3.53,4,4,v Pakistan,Kandy,3-Apr-06
48,10,158,3,3.29,4,1,v England,Lord's,11-May-06
25,2,86,6,3.44,4,2,v England,Birmingham,25-May-06
12.2,3,29,4,2.35,3,4,v England,Birmingham,25-May-06
31,10,62,3,2,3,2,v England,Nottingham,2-Jun-06
30,10,70,8,2.33,3,4,v England,Nottingham,2-Jun-06
18.2,6,41,4,2.23,4,1,v South Africa,Colombo (SSC),27-Jul-06
64,11,131,6,2.04,4,3,v South Africa,Colombo (SSC),27-Jul-06
33.5,2,128,5,3.78,3,1,v South Africa,Colombo (PSS),4-Aug-06
46.5,12,97,7,2.07,4,3,v South Africa,Colombo (PSS),4-Aug-06
34,7,65,4,1.91,4,2,v New Zealand,Christchurch,7-Dec-06
14,5,34,3,2.42,3,4,v New Zealand,Christchurch,7-Dec-06
12.1,3,31,4,2.54,4,2,v New Zealand,Wellington,15-Dec-06
34.1,9,87,6,2.54,4,4,v New Zealand,Wellington,15-Dec-06
7.3,3,15,5,2,4,1,v Bangladesh,Colombo (SSC),25-Jun-07
36.1,12,87,4,2.4,3,3,v Bangladesh,Colombo (SSC),25-Jun-07
5.2,1,14,4,2.62,4,1,v Bangladesh,Colombo (PSS),3-Jul-07
28,6,84,1,3,4,3,v Bangladesh,Colombo (PSS),3-Jul-07
14.5,6,28,6,1.88,4,1,v Bangladesh,Kandy,11-Jul-07
21,5,54,6,2.57,4,3,v Bangladesh,Kandy,11-Jul-07
50,4,170,2,3.4,4,1,v Australia,Brisbane,8-Nov-07
46,4,140,1,3.04,4,1,v Australia,Hobart,16-Nov-07
20,1,90,1,4.5,3,3,v Australia,Hobart,16-Nov-07
35,14,55,6,1.57,3,2,v England,Kandy,1-Dec-07
36,12,85,3,2.36,3,4,v England,Kandy,1-Dec-07
47.2,9,116,5,2.45,4,1,v England,Colombo (SSC),9-Dec-07
27,5,58,1,2.14,5,3,v England,Colombo (SSC),9-Dec-07
4,2,6,1,1.5,4,2,v England,Galle,18-Dec-07
38,8,91,3,2.39,1,3,v England,Galle,18-Dec-07
40,6,112,3,2.8,4,2,v West Indies,Providence,22-Mar-08
45,6,112,3,2.48,4,4,v West Indies,Providence,22-Mar-08
29.2,4,79,5,2.69,4,2,v West Indies,Port of Spain,3-Apr-08
24.3,4,92,1,3.75,4,4,v West Indies,Port of Spain,3-Apr-08
29,4,84,5,2.89,4,2,v India,Colombo (SSC),23-Jul-08
13,3,26,6,2,4,3,v India,Colombo (SSC),23-Jul-08
27,1,93,2,3.44,4,1,v India,Galle,31-Jul-08
31,3,107,3,3.45,3,3,v India,Galle,31-Jul-08
23,3,58,2,2.52,4,1,v India,Colombo (PSS),8-Aug-08
37.5,4,99,3,2.61,3,3,v India,Colombo (PSS),8-Aug-08
22,8,49,6,2.22,4,2,v Bangladesh,Dhaka,26-Dec-08
48,9,141,4,2.93,3,4,v Bangladesh,Dhaka,26-Dec-08
20.2,6,62,3,3.04,4,2,v Bangladesh,Chittagong,3-Jan-09
10,0,30,0,3,4,4,v Bangladesh,Chittagong,3-Jan-09
65,14,172,1,2.64,4,2,v Pakistan,Karachi,21-Feb-09
4.4,0,23,0,4.92,4,2,v Pakistan,Lahore,1-Mar-09
42,10,73,4,1.73,4,2,v New Zealand,Galle,18-Aug-09
27,4,88,3,3.25,4,4,v New Zealand,Galle,18-Aug-09
25.4,2,71,3,2.76,5,2,v New Zealand,Colombo (SSC),26-Aug-09
28.2,2,85,3,3,5,4,v New Zealand,Colombo (SSC),26-Aug-09
25.5,4,97,3,3.75,4,1,v India,Ahmedabad,16-Nov-09
38,6,124,0,3.26,4,3,v India,Ahmedabad,16-Nov-09
37,0,175,2,4.72,5,1,v India,Kanpur,24-Nov-09
51,4,195,4,3.82,4,2,v India,Mumbai (BS),2-Dec-09
17,1,63,5,3.7,5,2,v India,Galle,18-Jul-10
44.4,7,128,3,2.86,5,3,v India,Galle,18-Jul-10
